Unnamed: 0.1,Unnamed: 0,timestamp,id,x,y,datetime
578,578,1706538420,6,0,30,2024-01-29 14:27
579,579,1706538421,6,15.58738012,34.32560478,2024-01-29 14:27
580,580,1706538422,7,25.33497008,31.7574938,2024-01-29 14:27
581,581,1706538424,6,14.99556485,14.98260058,2024-01-29 14:27
582,582,1706538426,6,26.0200551,36.02620581,2024-01-29 14:27
583,583,1706538428,3,,,2024-01-29 14:27
584,584,1706538429,7,30.03601165,29.98522133,2024-01-29 14:27
585,585,1706538430,6,,,2024-01-29 14:27
586,586,1706538432,2,30.2046865,24.88859405,2024-01-29 14:27
587,587,1706538433,7,11.28444161,30.14326037,2024-01-29 14:27
588,588,1706538434,3,6.249143286,29.3670371,2024-01-29 14:27
589,589,1706538435,6,1.434677477,34.39044265,2024-01-29 14:27
590,590,1706538436,6,14.99525658,20.00291754,2024-01-29 14:27
591,591,1706538437,6,28.74689533,30.4351715,2024-01-29 14:27
592,592,1706538438,2,,,2024-01-29 14:27
593,593,1706538439,7,16.24308957,18.12845521,2024-01-29 14:27
594,594,1706538440,7,,,2024-01-29 14:27
595,595,1706538441,7,7.427893816,30.47679076,2024-01-29 14:27
596,596,1706538442,3,,,2024-01-29 14:27
597,597,1706538443,3,7.64565571,29.96086963,2024-01-29 14:27
598,598,1706538444,2,30.37750898,24.97442043,2024-01-29 14:27
599,599,1706538445,7,15.24590579,15.81445609,2024-01-29 14:27
600,600,1706538447,7,5.809260415,30.01158742,2024-01-29 14:27
601,601,1706538448,6,23.39344827,17.36390826,2024-01-29 14:27
602,602,1706538449,7,14.95031547,29,2024-01-29 14:27
603,603,1706538451,6,10.64449413,30.0541853,2024-01-29 14:27
604,604,1706538452,6,7.34233151,29.86244549,2024-01-29 14:27
605,605,1706538453,2,,,2024-01-29 14:27
606,606,1706538454,7,,,2024-01-29 14:27
607,607,1706538456,6,7.674161129,29.96016571,2024-01-29 14:27
608,608,1706538457,2,14.99578113,32.73930736,2024-01-29 14:27
609,609,1706538458,7,15.00884929,24.99611916,2024-01-29 14:27
610,610,1706538460,6,10.36611383,28.93305691,2024-01-29 14:27
611,611,1706538461,7,15.01993049,22.81416647,2024-01-29 14:27
612,612,1706538462,6,5.785824334,29.9880758,2024-01-29 14:27
613,613,1706538463,6,15.02448642,22.80331759,2024-01-29 14:27
614,614,1706538464,3,,,2024-01-29 14:27
615,615,1706538465,6,12.07441806,20,2024-01-29 14:27
616,616,1706538467,7,,,2024-01-29 14:27
617,617,1706538468,2,18.19136829,15.4209188,2024-01-29 14:27
618,618,1706538469,6,11.25,28.22429047,2024-01-29 14:27
619,619,1706538471,6,2.446682721,24.97505936,2024-01-29 14:27
620,620,1706538472,7,7.644316461,29.99375991,2024-01-29 14:27
621,621,1706538473,3,,,2024-01-29 14:27
622,622,1706538474,3,11.28367099,30.16306168,2024-01-29 14:27
623,623,1706538475,6,3.967727013,26.02964401,2024-01-29 14:27
624,624,1706538476,7,10.0034041,23.96997665,2024-01-29 14:27
