Unnamed: 0.1,Unnamed: 0,timestamp,id,x,y,datetime
653,653,1706538515,10,18.19090008601825,15.423205771718424,2024-01-29 14:28:35
654,654,1706538517,6,,,2024-01-29 14:28:37
655,655,1706538518,7,11.246555839223062,21.87282031479528,2024-01-29 14:28:38
656,656,1706538519,2,24.15949561899756,30.001224321061684,2024-01-29 14:28:39
657,657,1706538520,10,23.411326971386437,17.377357798449456,2024-01-29 14:28:40
658,658,1706538521,3,,,2024-01-29 14:28:41
659,659,1706538522,7,,,2024-01-29 14:28:42
660,660,1706538523,3,56.7478584285404,29.935126724766693,2024-01-29 14:28:43
661,661,1706538524,10,-10.836874455602192,25.004885683351617,2024-01-29 14:28:44
662,662,1706538526,7,-1.245984456286806,29.995043316639773,2024-01-29 14:28:46
663,663,1706538527,10,8.979010134781106,39.00763640162879,2024-01-29 14:28:47
664,664,1706538528,6,,,2024-01-29 14:28:48
665,665,1706538529,6,11.092136704970432,37.88820505745567,2024-01-29 14:28:49
666,666,1706538530,3,,,2024-01-29 14:28:50
667,667,1706538531,10,-0.303810613461081,28.551836439773744,2024-01-29 14:28:51
668,668,1706538533,3,,,2024-01-29 14:28:53
669,669,1706538534,2,,,2024-01-29 14:28:54
670,670,1706538535,6,5.71051390055834,29.989765074432917,2024-01-29 14:28:55
671,671,1706538536,10,15.262769953485616,44.17424957170072,2024-01-29 14:28:56
672,672,1706538537,6,11.28367098688672,10.680219968558966,2024-01-29 14:28:57
673,673,1706538538,10,16.664249697523992,20.00540569415041,2024-01-29 14:28:58
674,674,1706538539,3,38.72676645515529,33.434595806894414,2024-01-29 14:28:59
675,675,1706538540,6,12.027613120069176,20.03132402549289,2024-01-29 14:29:00
676,676,1706538541,7,,,2024-01-29 14:29:01
677,677,1706538542,2,9.997415158306968,20.007328525027425,2024-01-29 14:29:02
678,678,1706538543,3,-3.927108652002801,29.896410293344204,2024-01-29 14:29:03
679,679,1706538544,6,15.816112529448644,45.0,2024-01-29 14:29:04
680,680,1706538545,10,1.699901204371578,39.95639815820455,2024-01-29 14:29:05
681,681,1706538546,2,8.996109625530988,39.00583556170352,2024-01-29 14:29:06
682,682,1706538547,10,56.72638488179632,30.11544724674702,2024-01-29 14:29:07
683,683,1706538549,10,11.254335941524388,21.871079208296123,2024-01-29 14:29:09
684,684,1706538550,2,,,2024-01-29 14:29:10
685,685,1706538551,6,30.10001392949172,40.09386321856638,2024-01-29 14:29:11
